时间,力值 1#,力值 2#,力值 3#,合力
'2025-08-11 20:10:26.693,0.01,0,0,0.01
'2025-08-11 20:10:26.700,0.01,0,0,0.01
'2025-08-11 20:10:26.706,0.01,0,0,0.01
'2025-08-11 20:10:26.713,0.01,0,0,0.01
'2025-08-11 20:10:26.719,0.01,0,0,0.01
'2025-08-11 20:10:26.725,0.01,0,0,0.01
'2025-08-11 20:10:26.732,0.01,0,0,0.01
'2025-08-11 20:10:26.739,0.01,0,0,0.01
'2025-08-11 20:10:26.745,0.01,0,0,0.01
'2025-08-11 20:10:26.752,0.01,0,0,0.01
'2025-08-11 20:10:26.758,0.01,0,0,0.01
'2025-08-11 20:10:26.764,0.01,0,0,0.01
'2025-08-11 20:10:26.771,0.01,0,0,0.01
'2025-08-11 20:10:26.777,0.01,0,0,0.01
'2025-08-11 20:10:26.784,0.01,0,0,0.01
'2025-08-11 20:10:26.790,0.01,0,0,0.01
'2025-08-11 20:10:26.800,0.01,0,0,0.01
'2025-08-11 20:10:26.806,0.01,0,0,0.01
'2025-08-11 20:10:26.812,0.01,0,0,0.01
'2025-08-11 20:10:26.818,0.01,0,0,0.01
'2025-08-11 20:10:26.825,0.01,0,0,0.01
'2025-08-11 20:10:26.832,0.01,0,0,0.01
'2025-08-11 20:10:26.838,0.01,0,0,0.01
'2025-08-11 20:10:26.848,0.01,0,0,0.01
'2025-08-11 20:10:26.854,0.01,0,0,0.01
'2025-08-11 20:10:26.860,0.01,0,0,0.01
'2025-08-11 20:10:26.866,0.01,0,0,0.01
'2025-08-11 20:10:26.872,0.01,0,0,0.01
'2025-08-11 20:10:26.879,0.01,0,0,0.01
'2025-08-11 20:10:26.885,0.01,0,0,0.01
'2025-08-11 20:10:26.891,0.01,0,0,0.01
'2025-08-11 20:10:26.898,0.01,0,0,0.01
'2025-08-11 20:10:26.905,0.01,0,0,0.01
'2025-08-11 20:10:26.911,0.01,0,0,0.01
'2025-08-11 20:10:26.918,0.01,0,0,0.01
'2025-08-11 20:10:26.924,0.01,0,0,0.01
'2025-08-11 20:10:26.930,0.01,0,0,0.01
'2025-08-11 20:10:26.936,0.01,0,0,0.01
'2025-08-11 20:10:26.943,0.01,0,0,0.01
'2025-08-11 20:10:26.949,0.01,0,0,0.01
'2025-08-11 20:10:26.956,0.01,0,0,0.01
'2025-08-11 20:10:26.962,0.01,0,0,0.01
'2025-08-11 20:10:26.969,0.01,0,0,0.01
'2025-08-11 20:10:26.975,0.01,0,0,0.01
'2025-08-11 20:10:26.981,0.01,0,0,0.01
'2025-08-11 20:10:26.988,0.01,0,0,0.01
'2025-08-11 20:10:26.999,0.01,0,0,0.01
